trials.thisTrialN,trials.stepSize,trials.intensity,correctAns,ori,polygon.started,polygon.stopped,polygon_2.started,polygon_2.stopped,grating.started,grating.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
11,0.2,0.018928720334405794,down,260,21.810290100052953,None,21.810290100052953,None,21.810290100052953,21.893634299980476,1,0.9664629000471905,21.47659560001921,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
12,0.1,0.018928720334405794,down,260,22.794386200024746,None,22.794386200024746,None,22.794386200024746,22.87788990000263,1,1.0060472000623122,22.460846500005573,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
13,0.1,0.015035617008818164,up,280,23.828589200042188,None,23.828589200042188,None,23.828589200042188,23.912047400022857,1,1.2037354999920353,23.495017700013705,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
14,0.1,0.015035617008818164,up,280,25.063047499977984,None,25.063047499977984,None,25.063047499977984,25.146332500036806,1,1.0738849000772461,24.72931660001632,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
15,0.1,0.011943215116604913,down,260,26.163965999963693,None,26.163965999963693,None,26.163965999963693,26.247338799992576,1,1.0293647999642417,25.830253800028004,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
16,0.1,0.011943215116604913,down,260,27.21485470002517,None,27.21485470002517,None,27.21485470002517,27.298183200065978,1,1.0818316999357194,26.881157199968584,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
17,0.1,0.01,up,280,28.315677399979904,None,28.315677399979904,None,28.315677399979904,28.399060099967755,1,1.0370425999863073,27.982028800062835,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
18,0.1,0.01,down,260,29.383255199994892,None,29.383255199994892,None,29.383255199994892,29.466615800047293,1,0.9778940000105649,29.049595599994063,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
19,0.1,0.01,up,280,30.38415239995811,None,30.38415239995811,None,30.38415239995811,30.4674309999682,1,1.096262100036256,30.05047060002107,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
20,0.1,0.01,down,260,31.501667500007898,None,31.501667500007898,None,31.501667500007898,31.585085900034755,0,1.146904000081122,31.168071400024928,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
21,0.1,0.012589254117941673,up,280,32.669315300066955,None,32.669315300066955,None,32.669315300066955,32.75277639995329,1,1.0191781999310479,32.335656599956565,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
22,0.1,0.012589254117941673,down,260,33.720246899989434,None,33.720246899989434,None,33.720246899989434,33.8036415000679,1,1.2962114000692964,33.38663840002846,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
23,0.1,0.01,down,260,35.03801699995529,None,35.03801699995529,None,35.03801699995529,35.1212996999966,0,1.2265878999605775,34.70434639998712,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
24,0.1,0.012589254117941673,up,280,36.28906740003731,None,36.28906740003731,None,36.28906740003731,36.37237410002854,1,1.0954508000286296,35.95536500005983,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
25,0.1,0.012589254117941673,up,280,37.40666430001147,None,37.40666430001147,None,37.40666430001147,37.490044399979524,0,1.2738230000250041,37.07291670003906,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
26,0.1,0.015848931924611138,up,280,38.70766660000663,None,38.70766660000663,None,38.70766660000663,38.79110400006175,1,1.0132228001020849,38.37408169999253,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
27,0.1,0.015848931924611138,down,260,39.741927600000054,None,39.741927600000054,None,39.741927600000054,39.825255800038576,1,0.9545982000418007,39.40823940001428,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
